#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
0.9%	50	0.10000000000000007	-463236.19030449056	469.4524849669833	-462766.73781952355	32.627654404876644	17.944891643069777	0.9631855279654584	0	--
1.8%	100	0.20000000000000015	-462885.7239455166	869.1243688864633	-462016.59957663016	60.405451991330786	17.9500251830398	0.9629100658780275	347	0:02
2.7%	150	0.3000000000000002	-462556.8805273861	1199.006679048296	-461357.8738483378	83.33276914250018	18.102667756364514	0.9547907614575938	379	0:02
3.6%	200	0.4000000000000003	-462297.0938373643	1531.8665907253744	-460765.2272466389	106.46703408137103	17.974649006824393	0.9615909565160817	395	0:02
4.5%	250	0.5000000000000003	-462033.9194149417	1844.3522827583365	-460189.56713218335	128.18526008423748	18.007214266097964	0.9598519613360763	402	0:02
5.5%	300	0.6000000000000004	-461833.6846701798	2097.474139986094	-459736.2105301937	145.77761020360822	18.118928830250844	0.9539338717781043	404	0:02
6.4%	350	0.7000000000000005	-461564.8008811173	2239.822037363425	-459324.97884375387	155.67100335758212	18.118928830250844	0.9539338717781043	407	0:02
7.3%	400	0.8000000000000006	-461345.4624591106	2526.1875907119247	-458819.2748683987	175.57384040140613	18.079158015779576	0.9560323504240253	410	0:02
8.2%	450	0.9000000000000007	-461153.6274981731	2682.2024861532263	-458471.42501201987	186.41711049471445	18.079158015779576	0.9560323504240253	407	0:02
9.1%	500	1.0000000000000007	-460927.8952122542	2860.16111275414	-458067.73409950006	198.7855029370496	17.970646815273128	0.9618051096982961	393	0:02
10.0%	550	1.1000000000000008	-460665.9924756305	2964.196173451841	-457701.79630217864	206.01609626679559	17.995498766705733	0.9604768478821758	383	0:02
10.9%	600	1.2000000000000008	-460622.80865390284	3120.4888531256	-457502.31980077724	216.87867278242774	18.075362318282185	0.9562331104163304	385	0:02
11.8%	650	1.300000000000001	-460443.31129852333	3213.439724185504	-457229.8715743378	223.33889824654068	18.07906625829672	0.9560372026172056	393	0:02
12.7%	700	1.400000000000001	-460223.26596982015	3300.542393758893	-456922.72357606125	229.39266490363394	18.036738858885123	0.9582807660930714	400	0:02
13.6%	750	1.500000000000001	-460023.3341863229	3378.2059671343304	-456645.1282191886	234.79040016563766	18.071707433525663	0.9564265023153414	406	0:02
14.5%	800	1.6000000000000012	-459929.4691869894	3453.924178175628	-456475.5450088138	240.0529298169286	18.142908062741164	0.9526730704769759	406	0:02
15.5%	850	1.7000000000000013	-459786.98178535036	3387.3174350915942	-456399.66435025877	235.42366090479769	18.037606312595933	0.9582346810309994	409	0:01
16.4%	900	1.8000000000000014	-459682.82931218494	3552.086950347293	-456130.74236183765	246.87539025414833	18.059320223337803	0.9570825323301428	413	0:01
17.3%	950	1.9000000000000015	-459505.10866395704	3608.7771442839876	-455896.33151967305	250.81544407246392	18.07639047402642	0.9561787214293965	417	0:01
