#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
10.1%	5550	11.100000000000376	718438.9187632186	4322.928143629804	722761.8469068484	300.4500135884637	19.244711397196216	0.8981303785117438	0	--
10.2%	5600	11.20000000000041	718361.2409005789	4320.586751284893	722681.8276518638	300.28728329583066	19.138134162522803	0.9031319241851675	340	0:25
10.3%	5650	11.300000000000443	718373.2649297523	4334.3807493094355	722707.6456790618	301.2459869236067	19.07587884878336	0.9060793512334285	385	0:22
10.4%	5700	11.400000000000476	718411.3679570961	4277.899630804197	722689.2675879003	297.3204641625132	19.07587884878336	0.9060793512334285	406	0:21
10.5%	5750	11.50000000000051	718320.9021367836	4313.539468285278	722634.4416050689	299.79748651858927	19.07587884878336	0.9060793512334285	418	0:20
10.5%	5800	11.600000000000543	718226.7427041208	4464.510182725731	722691.2528868465	310.29017843898004	18.984364719282873	0.9104471067160372	344	0:24
10.6%	5850	11.700000000000577	718283.3399219282	4485.074011058896	722768.4139329871	311.7193954643045	19.115351726693813	0.9042083127027339	348	0:24
10.7%	5900	11.80000000000061	718340.0850112886	4394.287759222207	722734.3727705108	305.4096142947578	19.010180331435937	0.9092107297336477	361	0:23
10.8%	5950	11.900000000000643	718365.6714370699	4353.509957622737	722719.1813946926	302.57549569791684	19.010180331435937	0.9092107297336477	370	0:22
10.9%	6000	12.000000000000677	718173.2316564216	4557.973917427938	722731.2055738495	316.7860486982825	19.004570042803593	0.9094791354176459	378	0:22
11.0%	6050	12.10000000000071	718322.7837941055	4389.791495591402	722712.5752896969	305.0971172038766	18.935315156723053	0.9128055059266476	380	0:22
11.1%	6100	12.200000000000744	718302.792583168	4533.500445907004	722836.293029075	315.0851055859486	18.935315156723053	0.9128055059266476	387	0:21
11.2%	6150	12.300000000000777	718401.7252322893	4508.85803031642	722910.5832626057	313.3724206064507	19.081670646953796	0.9058043318797336	393	0:21
11.3%	6200	12.40000000000081	718371.5775721797	4622.198757198639	722993.7763293784	321.2497717444911	19.01549774045784	0.9089564820982147	397	0:21
11.4%	6250	12.500000000000844	718410.3405477891	4484.523924543522	722894.8644723326	311.6811636234023	19.146438574795297	0.9027402074799648	398	0:21
11.5%	6300	12.600000000000877	718468.0205603843	4506.455964190653	722974.4765245749	313.20547339471165	19.068018788883077	0.9064528477174604	395	0:21
11.5%	6350	12.70000000000091	718552.0459510093	4368.630303326994	722920.6762543363	303.626382486077	19.068018788883077	0.9064528477174604	393	0:21
11.6%	6400	12.800000000000944	718452.4192261065	4430.034344029613	722882.4535701361	307.89405575070765	18.927657641827423	0.9131747973567187	389	0:21
11.7%	6450	12.900000000000977	718358.873419672	4646.169508581981	723005.042928254	322.9157750504826	19.0719577417968	0.9062656369898566	382	0:21
11.8%	6500	13.00000000000101	718459.7345236737	4507.435595267452	722967.1701189411	313.2735592292564	19.057828965139265	0.9069375091533046	376	0:22
11.9%	6550	13.100000000001044	718496.4000510174	4520.562490971759	723016.9625419892	314.1858982415403	19.057828965139265	0.9069375091533046	372	0:22
12.0%	6600	13.200000000001078	718522.9690447779	4537.858830952086	723060.82787573	315.3880199075637	19.049678996502152	0.9073255215842112	369	0:22
12.1%	6650	13.300000000001111	718574.0832032108	4429.862584597431	723003.9457878083	307.88211821160957	19.004913159187602	0.9094627156008511	367	0:22
12.2%	6700	13.400000000001144	718506.6013657296	4528.204105710611	723034.8054714402	314.71700196934785	18.898756842125863	0.9145712639143546	366	0:22
12.3%	6750	13.500000000001178	718451.2821004528	4565.283933798317	723016.5660342511	317.2941058403029	19.049060327951537	0.9073549893771473	362	0:23
12.4%	6800	13.600000000001211	718385.9648339197	4615.165134185925	723001.1299681056	320.76092435690265	18.90824577093529	0.914112294757746	360	0:23
12.5%	6850	13.700000000001245	718387.6733300134	4643.374387332238	723031.0477173456	322.72150991593384	18.90824577093529	0.914112294757746	359	0:23
12.5%	6900	13.800000000001278	718695.1069927166	4292.05216924753	722987.1591619641	298.30408688913116	18.974306727739613	0.9109297208864169	355	0:23
12.6%	6950	13.900000000001311	718497.0852159129	4481.811848299112	722978.897064212	311.4926702417377	18.872202205198516	0.9158581358752083	353	0:23
12.7%	7000	14.000000000001345	718395.3065460236	4579.131740832701	722974.4382868563	318.25654927526546	18.967652449982083	0.9112492954566674	350	0:23
12.8%	7050	14.100000000001378	718521.0028350861	4472.611251995899	722993.614087082	310.853214948363	18.967652449982083	0.9112492954566674	348	0:23
12.9%	7100	14.200000000001411	718451.4325246268	4477.500113972928	722928.9326385998	311.1929982153126	18.934213812586364	0.912858600974683	347	0:23
13.0%	7150	14.300000000001445	718450.3406313838	4482.283947709249	722932.6245790931	311.52548186142656	18.947415707844453	0.9122225530924103	345	0:23
13.1%	7200	14.400000000001478	718365.2992585286	4480.102049997076	722845.4013085257	311.3738366858672	19.07228367553713	0.9062501494607375	344	0:23
13.2%	7250	14.500000000001512	718329.843373888	4550.77234228095	722880.615716169	316.285528384532	19.154487299990592	0.9023608755908384	342	0:24
13.3%	7300	14.600000000001545	718370.9811126844	4583.859135139966	722954.8402478243	318.5851102960978	19.00225248044513	0.9095900577734152	339	0:24
13.4%	7350	14.700000000001578	718384.9088470594	4587.555439333897	722972.4642863933	318.8420090018813	19.00225248044513	0.9095900577734152	339	0:24
13.5%	7400	14.800000000001612	718547.5206634656	4456.7681029277155	723004.2887663933	309.7520922383235	19.00225248044513	0.9095900577734152	339	0:24
13.5%	7450	14.900000000001645	718464.8442101814	4479.886085914681	722944.7302960961	311.35882685703484	19.048719497299384	0.9073712242948176	340	0:24
13.6%	7500	15.000000000001679	718566.7442637838	4374.890595807927	722941.6348595917	304.0614822375581	19.086778683087225	0.9055619189857675	339	0:24
13.7%	7550	15.100000000001712	718478.1074230995	4530.124346951488	723008.231770051	314.8504616262623	18.979629615801436	0.9106742482015111	339	0:24
